call_id,caller,callee,start_time,duration_sec,cell_id
CALL-0059,+91 90000 00901,+91 90000 00103,2025-06-21 20:00:00,141,TWR-A-02
CALL-0010,+91 90000 00105,+91 90000 00104,2025-06-21 21:06:00,717,TWR-A-01
CALL-0040,+91 90000 00303,+91 90000 00301,2025-06-23 11:28:00,596,TWR-C-01
CALL-0052,+91 90000 00303,+91 90000 00302,2025-06-23 15:52:00,815,TWR-C-01
CALL-0011,+91 90000 00103,+91 90000 00105,2025-06-24 11:55:00,506,TWR-A-01
CALL-0066,+91 90000 00901,+91 90000 00301,2025-06-25 12:00:00,244,TWR-A-02
CALL-0031,+91 90000 00201,+91 90000 00203,2025-06-26 11:28:00,594,TWR-B-01
CALL-0017,+91 90000 00102,+91 90000 00103,2025-06-26 20:32:00,34,TWR-A-01
CALL-0024,+91 90000 00202,+91 90000 00203,2025-06-27 11:39:00,886,TWR-B-01
CALL-0054,+91 90000 00301,+91 90000 00302,2025-06-27 21:38:00,683,TWR-C-01
CALL-0020,+91 90000 00203,+91 90000 00201,2025-06-28 10:34:00,156,TWR-B-01
CALL-0022,+91 90000 00201,+91 90000 00203,2025-06-28 13:02:00,675,TWR-B-01
CALL-0057,+91 90000 00901,+91 90000 00101,2025-06-28 15:00:00,182,TWR-A-02
CALL-0061,+91 90000 00901,+91 90000 00202,2025-06-29 19:00:00,379,TWR-A-02
CALL-0037,+91 90000 00303,+91 90000 00302,2025-06-30 14:46:00,559,TWR-C-01
CALL-0002,+91 90000 00102,+91 90000 00104,2025-06-30 16:16:00,159,TWR-A-01
CALL-0055,+91 90000 00901,+91 90000 00101,2025-07-01 21:00:00,52,TWR-A-02
CALL-0070,+91 90000 00901,+91 90000 00201,2025-07-02 21:00:00,84,TWR-A-02
CALL-0071,+91 90000 00901,+91 90000 00201,2025-07-02 21:09:00,71,TWR-A-02
CALL-0072,+91 90000 00901,+91 90000 00201,2025-07-02 21:18:00,87,TWR-A-02
CALL-0073,+91 90000 00901,+91 90000 00201,2025-07-02 21:27:00,75,TWR-A-02
CALL-0074,+91 90000 00901,+91 90000 00201,2025-07-02 21:36:00,25,TWR-A-02
CALL-0075,+91 90000 00901,+91 90000 00201,2025-07-02 21:45:00,87,TWR-A-02
CALL-0076,+91 90000 00901,+91 90000 00201,2025-07-02 21:54:00,49,TWR-A-02
CALL-0077,+91 90000 00901,+91 90000 00201,2025-07-02 22:03:00,84,TWR-A-02
CALL-0078,+91 90000 00901,+91 90000 00201,2025-07-02 22:12:00,40,TWR-A-02
CALL-0079,+91 90000 00901,+91 90000 00201,2025-07-02 22:21:00,22,TWR-A-02
CALL-0080,+91 90000 00901,+91 90000 00201,2025-07-02 22:30:00,62,TWR-A-02
CALL-0081,+91 90000 00901,+91 90000 00201,2025-07-02 22:39:00,68,TWR-A-02
CALL-0012,+91 90000 00105,+91 90000 00103,2025-07-03 12:45:00,529,TWR-A-01
CALL-0053,+91 90000 00303,+91 90000 00301,2025-07-04 15:54:00,288,TWR-C-01
CALL-0014,+91 90000 00105,+91 90000 00102,2025-07-06 09:44:00,827,TWR-A-01
CALL-0013,+91 90000 00103,+91 90000 00101,2025-07-06 10:20:00,272,TWR-A-01
CALL-0033,+91 90000 00201,+91 90000 00203,2025-07-06 15:24:00,627,TWR-B-01
CALL-0065,+91 90000 00901,+91 90000 00301,2025-07-08 09:00:00,127,TWR-A-02
CALL-0068,+91 90000 00901,+91 90000 00302,2025-07-08 09:00:00,241,TWR-A-02
CALL-0069,+91 90000 00901,+91 90000 00302,2025-07-08 18:00:00,215,TWR-A-02
CALL-0005,+91 90000 00105,+91 90000 00103,2025-07-09 09:26:00,791,TWR-A-01
CALL-0041,+91 90000 00302,+91 90000 00303,2025-07-09 09:44:00,139,TWR-C-01
CALL-0018,+91 90000 00105,+91 90000 00102,2025-07-09 14:39:00,43,TWR-A-01
CALL-0050,+91 90000 00301,+91 90000 00302,2025-07-09 18:38:00,715,TWR-C-01
CALL-0009,+91 90000 00101,+91 90000 00102,2025-07-10 11:35:00,696,TWR-A-01
CALL-0062,+91 90000 00901,+91 90000 00202,2025-07-10 14:00:00,311,TWR-A-02
CALL-0036,+91 90000 00203,+91 90000 00202,2025-07-11 09:19:00,896,TWR-B-01
CALL-0058,+91 90000 00901,+91 90000 00103,2025-07-11 11:00:00,51,TWR-A-02
CALL-0046,+91 90000 00302,+91 90000 00303,2025-07-11 21:12:00,307,TWR-C-01
CALL-0003,+91 90000 00105,+91 90000 00103,2025-07-12 10:27:00,406,TWR-A-01
CALL-0045,+91 90000 00302,+91 90000 00303,2025-07-12 17:18:00,28,TWR-C-01
CALL-0035,+91 90000 00203,+91 90000 00202,2025-07-14 20:51:00,230,TWR-B-01
CALL-0027,+91 90000 00203,+91 90000 00205,2025-07-15 09:44:00,472,TWR-B-01
CALL-0056,+91 90000 00901,+91 90000 00101,2025-07-15 12:00:00,168,TWR-A-02
CALL-0060,+91 90000 00901,+91 90000 00103,2025-07-15 12:00:00,250,TWR-A-02
CALL-0007,+91 90000 00103,+91 90000 00101,2025-07-15 12:48:00,598,TWR-A-01
CALL-0028,+91 90000 00201,+91 90000 00203,2025-07-15 19:22:00,571,TWR-B-01
CALL-0015,+91 90000 00103,+91 90000 00104,2025-07-15 20:29:00,389,TWR-A-01
CALL-0030,+91 90000 00203,+91 90000 00202,2025-07-16 18:23:00,32,TWR-B-01
CALL-0032,+91 90000 00201,+91 90000 00203,2025-07-16 20:38:00,854,TWR-B-01
CALL-0067,+91 90000 00901,+91 90000 00302,2025-07-17 16:00:00,313,TWR-A-02
CALL-0047,+91 90000 00301,+91 90000 00303,2025-07-17 20:10:00,792,TWR-C-01
CALL-0019,+91 90000 00202,+91 90000 00203,2025-07-18 09:47:00,225,TWR-B-01
CALL-0064,+91 90000 00901,+91 90000 00301,2025-07-18 20:00:00,119,TWR-A-02
CALL-0004,+91 90000 00101,+91 90000 00104,2025-07-19 17:46:00,762,TWR-A-01
CALL-0042,+91 90000 00301,+91 90000 00303,2025-07-19 19:37:00,200,TWR-C-01
CALL-0086,+91 9530747414,+91 9709004943,2025-07-15 14:00:00,239,TWR-NEW-01
CALL-0087,+91 9637500247,+91 9219778234,2025-07-30 09:00:00,332,TWR-NEW-01
CALL-0088,+91 9883543540,+91 9786066793,2025-07-04 17:00:00,144,TWR-NEW-01
CALL-0089,+91 9587182120,+91 9918739736,2025-07-05 14:00:00,662,TWR-NEW-01
CALL-0090,+91 9524806516,+91 9740389325,2025-07-18 18:00:00,869,TWR-NEW-01
CALL-0091,+91 9629908599,+91 9771410971,2025-07-21 20:00:00,475,TWR-NEW-01
CALL-0092,+91 9275452091,+91 9673528321,2025-07-10 12:00:00,171,TWR-NEW-01
CALL-0093,+91 9875340444,+91 9930075810,2025-07-13 09:00:00,653,TWR-NEW-01
CALL-0094,+91 9906248900,+91 9924970419,2025-08-08 11:00:00,354,TWR-NEW-01
CALL-0095,+91 9964411347,+91 9694021782,2025-07-23 12:00:00,779,TWR-NEW-01
CALL-0096,+91 9629908599,+91 9726563708,2025-07-15 17:00:00,524,TWR-NEW-01
CALL-0097,+91 9969119330,+91 9868820204,2025-07-14 16:00:00,607,TWR-NEW-01
CALL-0098,+91 9719927151,+91 9853573823,2025-07-21 14:00:00,713,TWR-NEW-01
CALL-0099,+91 9702632297,+91 9830448745,2025-07-18 20:00:00,86,TWR-NEW-01
CALL-0100,+91 9914763202,+91 9513140753,2025-08-04 15:00:00,488,TWR-NEW-01
CALL-0101,+91 9506448196,+91 9629908599,2025-07-22 13:00:00,495,TWR-NEW-01
CALL-0102,+91 9398471886,+91 9506448196,2025-07-06 10:00:00,261,TWR-NEW-01
CALL-0103,+91 9740389325,+91 9587182120,2025-07-19 11:00:00,874,TWR-NEW-01
CALL-0104,+91 9253407200,+91 9185675980,2025-07-12 10:00:00,321,TWR-NEW-01
CALL-0105,+91 9709004943,+91 9679153816,2025-07-15 09:00:00,169,TWR-NEW-01
CALL-0106,+91 9185675980,+91 9587182120,2025-07-12 09:00:00,402,TWR-NEW-01
CALL-0107,+91 9398471886,+91 9126855092,2025-07-16 14:00:00,696,TWR-NEW-01
CALL-0108,+91 9911514914,+91 9219778234,2025-07-26 12:00:00,890,TWR-NEW-01
CALL-0109,+91 9126855092,+91 9357109965,2025-07-29 17:00:00,763,TWR-NEW-01
CALL-0110,+91 9357109965,+91 9753876785,2025-07-14 15:00:00,313,TWR-NEW-01
CALL-0111,+91 9694021782,+91 9193349856,2025-08-10 18:00:00,774,TWR-NEW-01
CALL-0112,+91 9856528252,+91 9382116655,2025-08-04 14:00:00,676,TWR-NEW-01
CALL-0113,+91 9349817734,+91 9726563708,2025-07-29 21:00:00,859,TWR-NEW-01
CALL-0114,+91 9357109965,+91 9465341213,2025-07-06 11:00:00,360,TWR-NEW-01
CALL-0115,+91 9550455977,+91 9911514914,2025-07-23 15:00:00,389,TWR-NEW-01
CALL-0116,+91 9773715057,+91 9398471886,2025-07-03 15:00:00,787,TWR-NEW-01
CALL-0117,+91 9830448745,+91 9209747451,2025-07-24 14:00:00,815,TWR-NEW-01
CALL-0118,+91 9849621470,+91 9358633898,2025-07-29 18:00:00,862,TWR-NEW-01
CALL-0119,+91 9100614068,+91 9248532577,2025-08-10 10:00:00,477,TWR-NEW-01
CALL-0120,+91 9524806516,+91 9782560971,2025-08-10 13:00:00,379,TWR-NEW-01
CALL-0121,+91 9739830322,+91 9950488739,2025-07-18 20:00:00,544,TWR-NEW-01
CALL-0122,+91 9966647391,+91 9566825638,2025-07-27 15:00:00,309,TWR-NEW-01
CALL-0123,+91 9220117054,+91 9645119047,2025-07-22 19:00:00,668,TWR-NEW-01
CALL-0124,+91 9899925830,+91 9629908599,2025-08-02 20:00:00,290,TWR-NEW-01
CALL-0125,+91 9918739736,+91 9925276600,2025-08-10 17:00:00,584,TWR-NEW-01
CALL-0126,+91 9566825638,+91 9349817734,2025-07-13 20:00:00,205,TWR-NEW-01
CALL-0127,+91 9899925830,+91 9624636385,2025-08-03 21:00:00,90,TWR-NEW-01
CALL-0128,+91 9831980933,+91 9919795579,2025-08-06 11:00:00,97,TWR-NEW-01
CALL-0129,+91 9349817734,+91 9358633898,2025-07-14 20:00:00,817,TWR-NEW-01
CALL-0130,+91 9914763202,+91 9345938494,2025-07-31 16:00:00,322,TWR-NEW-01
CALL-0131,+91 9134126396,+91 9248532577,2025-07-18 14:00:00,435,TWR-NEW-01
CALL-0132,+91 9349817734,+91 9398471886,2025-07-23 14:00:00,210,TWR-NEW-01
CALL-0133,+91 9990566476,+91 9645119047,2025-07-14 16:00:00,530,TWR-NEW-01
CALL-0134,+91 9345938494,+91 9990566476,2025-07-09 19:00:00,29,TWR-NEW-01
CALL-0135,+91 9906248900,+91 9513140753,2025-08-08 13:00:00,287,TWR-NEW-01
CALL-0136,+91 9925276600,+91 9726563708,2025-07-05 18:00:00,701,TWR-NEW-01
CALL-0137,+91 9219778234,+91 9266944844,2025-07-01 15:00:00,676,TWR-NEW-01
CALL-0138,+91 9208449460,+91 9925276600,2025-07-09 18:00:00,533,TWR-NEW-01
CALL-0139,+91 9930075810,+91 9875340444,2025-07-16 21:00:00,749,TWR-NEW-01
CALL-0140,+91 9266944844,+91 9398471886,2025-07-31 12:00:00,221,TWR-NEW-01
CALL-0141,+91 9220117054,+91 9249926919,2025-07-03 13:00:00,238,TWR-NEW-01
CALL-0142,+91 9171069472,+91 9200604502,2025-07-28 13:00:00,205,TWR-NEW-01
CALL-0143,+91 9964411347,+91 9786066793,2025-07-11 14:00:00,641,TWR-NEW-01
CALL-0144,+91 9275452091,+91 9566825638,2025-07-29 12:00:00,418,TWR-NEW-01
CALL-0145,+91 9217734861,+91 9362950628,2025-07-11 21:00:00,792,TWR-NEW-01
CALL-0146,+91 9831980933,+91 9786066793,2025-07-29 11:00:00,40,TWR-NEW-01
CALL-0147,+91 9911514914,+91 9856528252,2025-07-07 17:00:00,159,TWR-NEW-01
CALL-0148,+91 9220117054,+91 9171069472,2025-07-15 15:00:00,690,TWR-NEW-01
CALL-0149,+91 9629908599,+91 9171069472,2025-08-10 14:00:00,731,TWR-NEW-01
CALL-0150,+91 9253407200,+91 9899925830,2025-07-11 18:00:00,393,TWR-NEW-01
CALL-0151,+91 9530747414,+91 9911514914,2025-08-03 20:00:00,580,TWR-NEW-01
CALL-0152,+91 9702632297,+91 9853573823,2025-07-02 20:00:00,597,TWR-NEW-01
CALL-0153,+91 9249926919,+91 9692749116,2025-07-28 11:00:00,726,TWR-NEW-01
CALL-0154,+91 9357109965,+91 9126855092,2025-08-03 19:00:00,45,TWR-NEW-01
CALL-0155,+91 9679153816,+91 9673528321,2025-07-20 19:00:00,676,TWR-NEW-01
CALL-0156,+91 9925276600,+91 9507437181,2025-08-07 21:00:00,876,TWR-NEW-01
CALL-0157,+91 9249926919,+91 9925276600,2025-08-04 14:00:00,670,TWR-NEW-01
CALL-0158,+91 9362950628,+91 9675770529,2025-07-26 10:00:00,858,TWR-NEW-01
CALL-0159,+91 9746412689,+91 9629908599,2025-07-23 14:00:00,220,TWR-NEW-01
CALL-0160,+91 9826600539,+91 9465341213,2025-08-08 10:00:00,292,TWR-NEW-01
CALL-0161,+91 9488690725,+91 9275452091,2025-07-26 20:00:00,158,TWR-NEW-01
CALL-0162,+91 9992994062,+91 9964411347,2025-08-01 18:00:00,384,TWR-NEW-01
CALL-0163,+91 9748245888,+91 9249926919,2025-07-21 19:00:00,91,TWR-NEW-01
CALL-0164,+91 9249926919,+91 9624636385,2025-07-30 10:00:00,488,TWR-NEW-01
CALL-0165,+91 9835098955,+91 9513140753,2025-07-10 13:00:00,653,TWR-NEW-01
CALL-0166,+91 9550455977,+91 9275452091,2025-07-03 10:00:00,21,TWR-NEW-01
CALL-0167,+91 9916690353,+91 9249827706,2025-07-24 17:00:00,657,TWR-NEW-01
CALL-0168,+91 9149203558,+91 9771410971,2025-07-07 12:00:00,286,TWR-NEW-01
CALL-0169,+91 9826600539,+91 9587182120,2025-07-24 18:00:00,357,TWR-NEW-01
CALL-0170,+91 9694021782,+91 9582334538,2025-08-07 17:00:00,167,TWR-NEW-01
CALL-0171,+91 9782560971,+91 9787194506,2025-07-23 18:00:00,183,TWR-NEW-01
CALL-0172,+91 9709004943,+91 9587182120,2025-07-06 20:00:00,669,TWR-NEW-01
CALL-0173,+91 9753876785,+91 9922308461,2025-08-03 15:00:00,516,TWR-NEW-01
CALL-0174,+91 9275452091,+91 9856528252,2025-07-07 11:00:00,632,TWR-NEW-01
CALL-0175,+91 9193349856,+91 9481469012,2025-08-04 13:00:00,392,TWR-NEW-01
CALL-0176,+91 9587182120,+91 9550455977,2025-07-22 11:00:00,629,TWR-NEW-01
CALL-0177,+91 9209747451,+91 9739830322,2025-07-23 15:00:00,742,TWR-NEW-01
CALL-0178,+91 9849621470,+91 9875340444,2025-08-05 21:00:00,431,TWR-NEW-01
CALL-0179,+91 9826600539,+91 9746412689,2025-08-07 10:00:00,336,TWR-NEW-01
CALL-0180,+91 9914763202,+91 9171069472,2025-08-05 10:00:00,263,TWR-NEW-01
CALL-0181,+91 9853573823,+91 9709004943,2025-08-06 09:00:00,885,TWR-NEW-01
CALL-0182,+91 9629908599,+91 9345938494,2025-07-06 11:00:00,694,TWR-NEW-01
CALL-0183,+91 9506448196,+91 9853573823,2025-07-06 17:00:00,262,TWR-NEW-01
CALL-0184,+91 9849621470,+91 9992994062,2025-07-25 17:00:00,630,TWR-NEW-01
CALL-0185,+91 9249926919,+91 9709004943,2025-08-03 09:00:00,412,TWR-NEW-01
CALL-0186,+91 9171069472,+91 9506448196,2025-07-14 12:00:00,27,TWR-NEW-01
CALL-0187,+91 9702632297,+91 9185675980,2025-07-27 10:00:00,264,TWR-NEW-01
CALL-0188,+91 9264109919,+91 9911514914,2025-07-29 18:00:00,713,TWR-NEW-01
CALL-0189,+91 9349817734,+91 9358633898,2025-07-28 14:00:00,585,TWR-NEW-01
CALL-0190,+91 9754049436,+91 9786066793,2025-07-20 20:00:00,111,TWR-NEW-01
CALL-0191,+91 9219778234,+91 9919795579,2025-07-24 11:00:00,634,TWR-NEW-01
CALL-0192,+91 9220117054,+91 9524806516,2025-07-28 21:00:00,741,TWR-NEW-01
CALL-0193,+91 9219778234,+91 9149203558,2025-07-02 15:00:00,393,TWR-NEW-01
CALL-0194,+91 9219778234,+91 9702632297,2025-07-09 12:00:00,97,TWR-NEW-01
CALL-0195,+91 9200604502,+91 9924970419,2025-07-27 16:00:00,859,TWR-NEW-01
CALL-0196,+91 9485451171,+91 9208449460,2025-07-16 19:00:00,893,TWR-NEW-01
CALL-0197,+91 9171069472,+91 9249926919,2025-07-22 16:00:00,86,TWR-NEW-01
CALL-0198,+91 9883543540,+91 9914763202,2025-07-28 09:00:00,79,TWR-NEW-01
CALL-0199,+91 9465341213,+91 9694021782,2025-08-07 10:00:00,271,TWR-NEW-01
CALL-0200,+91 9637500247,+91 9358633898,2025-08-09 10:00:00,257,TWR-NEW-01
CALL-0201,+91 9930075810,+91 9248532577,2025-07-24 19:00:00,652,TWR-NEW-01
CALL-0202,+91 9969119330,+91 9191969690,2025-07-01 15:00:00,137,TWR-NEW-01
CALL-0203,+91 9831980933,+91 9906248900,2025-07-21 19:00:00,534,TWR-NEW-01
CALL-0204,+91 9835098955,+91 9274648506,2025-07-27 19:00:00,837,TWR-NEW-01
CALL-0205,+91 9976198296,+91 9507437181,2025-07-30 18:00:00,641,TWR-NEW-01
CALL-0206,+91 9782560971,+91 9916690353,2025-08-04 17:00:00,106,TWR-NEW-01
CALL-0207,+91 9266944844,+91 9237859287,2025-07-11 12:00:00,361,TWR-NEW-01
CALL-0208,+91 9753876785,+91 9550455977,2025-07-27 19:00:00,119,TWR-NEW-01
CALL-0209,+91 9679153816,+91 9906248900,2025-07-31 15:00:00,808,TWR-NEW-01
CALL-0210,+91 9637500247,+91 9719927151,2025-07-27 14:00:00,506,TWR-NEW-01
CALL-0211,+91 9906248900,+91 9748245888,2025-07-28 10:00:00,517,TWR-NEW-01
CALL-0212,+91 9171069472,+91 9185675980,2025-07-29 17:00:00,399,TWR-NEW-01
CALL-0213,+91 9530747414,+91 9488690725,2025-07-05 15:00:00,426,TWR-NEW-01
CALL-0214,+91 9746412689,+91 9835098955,2025-07-13 15:00:00,22,TWR-NEW-01
CALL-0215,+91 9773715057,+91 9481469012,2025-07-15 14:00:00,483,TWR-NEW-01
CALL-0216,+91 9193349856,+91 9171069472,2025-07-21 10:00:00,485,TWR-NEW-01
CALL-0217,+91 9550455977,+91 9969119330,2025-07-16 21:00:00,658,TWR-NEW-01
CALL-0218,+91 9100614068,+91 9126855092,2025-07-29 16:00:00,784,TWR-NEW-01
CALL-0219,+91 9637500247,+91 9831980933,2025-07-01 21:00:00,896,TWR-NEW-01
CALL-0220,+91 9849621470,+91 9398471886,2025-07-22 11:00:00,399,TWR-NEW-01
CALL-0221,+91 9513140753,+91 9990566476,2025-07-19 12:00:00,820,TWR-NEW-01
CALL-0222,+91 9826600539,+91 9465341213,2025-07-18 19:00:00,867,TWR-NEW-01
CALL-0223,+91 9883543540,+91 9507437181,2025-07-26 15:00:00,121,TWR-NEW-01
CALL-0224,+91 9264109919,+91 9637500247,2025-08-09 16:00:00,54,TWR-NEW-01
CALL-0225,+91 9739830322,+91 9382116655,2025-07-31 11:00:00,745,TWR-NEW-01
CALL-0226,+91 9856528252,+91 9465341213,2025-08-05 13:00:00,50,TWR-NEW-01
CALL-0227,+91 9964411347,+91 9582334538,2025-07-03 18:00:00,432,TWR-NEW-01
CALL-0228,+91 9200604502,+91 9922308461,2025-07-21 11:00:00,776,TWR-NEW-01
CALL-0229,+91 9924970419,+91 9485451171,2025-07-16 10:00:00,50,TWR-NEW-01
CALL-0230,+91 9694021782,+91 9220117054,2025-07-31 11:00:00,213,TWR-NEW-01
CALL-0231,+91 9753876785,+91 9566825638,2025-07-18 21:00:00,724,TWR-NEW-01
CALL-0232,+91 9513140753,+91 9826600539,2025-07-12 14:00:00,834,TWR-NEW-01
CALL-0233,+91 9992994062,+91 9826600539,2025-07-31 10:00:00,818,TWR-NEW-01
CALL-0234,+91 9193349856,+91 9675770529,2025-07-24 18:00:00,125,TWR-NEW-01
CALL-0235,+91 9773715057,+91 9220117054,2025-07-07 09:00:00,585,TWR-NEW-01
CALL-0236,+91 9916690353,+91 9465341213,2025-07-27 12:00:00,468,TWR-NEW-01
CALL-0237,+91 9746412689,+91 9249827706,2025-07-11 10:00:00,28,TWR-NEW-01
CALL-0238,+91 9507437181,+91 9382116655,2025-07-03 15:00:00,149,TWR-NEW-01
CALL-0239,+91 9582334538,+91 9922308461,2025-07-15 09:00:00,803,TWR-NEW-01
CALL-0240,+91 9582334538,+91 9668132202,2025-08-06 21:00:00,130,TWR-NEW-01
CALL-0241,+91 9819595113,+91 9856528252,2025-08-08 18:00:00,788,TWR-NEW-01
CALL-0242,+91 9924970419,+91 9911514914,2025-07-27 17:00:00,738,TWR-NEW-01
CALL-0243,+91 9100614068,+91 9274648506,2025-08-03 20:00:00,254,TWR-NEW-01
CALL-0244,+91 9465341213,+91 9266944844,2025-08-06 15:00:00,126,TWR-NEW-01
CALL-0245,+91 9220117054,+91 9465341213,2025-07-22 10:00:00,652,TWR-NEW-01
CALL-0246,+91 9748245888,+91 9398471886,2025-07-21 10:00:00,775,TWR-NEW-01
CALL-0247,+91 9200604502,+91 9899925830,2025-07-07 16:00:00,485,TWR-NEW-01
CALL-0248,+91 9357109965,+91 9550455977,2025-07-12 13:00:00,667,TWR-NEW-01
CALL-0249,+91 9849621470,+91 9274648506,2025-07-11 11:00:00,460,TWR-NEW-01
CALL-0250,+91 9694021782,+91 9506448196,2025-08-02 10:00:00,27,TWR-NEW-01
CALL-0251,+91 9465341213,+91 9398471886,2025-07-24 21:00:00,84,TWR-NEW-01
CALL-0252,+91 9668132202,+91 9925276600,2025-08-10 09:00:00,55,TWR-NEW-01
CALL-0253,+91 9740389325,+91 9966647391,2025-07-14 16:00:00,711,TWR-NEW-01
CALL-0254,+91 9513140753,+91 9969119330,2025-07-31 12:00:00,675,TWR-NEW-01
CALL-0255,+91 9349817734,+91 9507943839,2025-07-03 09:00:00,31,TWR-NEW-01
CALL-0256,+91 9919795579,+91 9924970419,2025-07-09 13:00:00,48,TWR-NEW-01
CALL-0257,+91 9398471886,+91 9582334538,2025-07-20 10:00:00,759,TWR-NEW-01
CALL-0258,+91 9673528321,+91 9264109919,2025-07-26 18:00:00,202,TWR-NEW-01
CALL-0259,+91 9237859287,+91 9918739736,2025-07-07 17:00:00,519,TWR-NEW-01
CALL-0260,+91 9966647391,+91 9637500247,2025-07-20 13:00:00,571,TWR-NEW-01
CALL-0261,+91 9787194506,+91 9345938494,2025-07-28 14:00:00,871,TWR-NEW-01
CALL-0262,+91 9253407200,+91 9587182120,2025-07-03 17:00:00,754,TWR-NEW-01
CALL-0263,+91 9746412689,+91 9358633898,2025-07-16 09:00:00,284,TWR-NEW-01
CALL-0264,+91 9362950628,+91 9485451171,2025-07-19 10:00:00,776,TWR-NEW-01
CALL-0265,+91 9220117054,+91 9924970419,2025-07-05 17:00:00,280,TWR-NEW-01
CALL-0266,+91 9826600539,+91 9587182120,2025-07-23 18:00:00,856,TWR-NEW-01
CALL-0267,+91 9819595113,+91 9200604502,2025-07-01 17:00:00,515,TWR-NEW-01
CALL-0268,+91 9922308461,+91 9328306011,2025-07-19 09:00:00,826,TWR-NEW-01
CALL-0269,+91 9773715057,+91 9624636385,2025-08-09 17:00:00,158,TWR-NEW-01
CALL-0270,+91 9830448745,+91 9748245888,2025-07-28 12:00:00,105,TWR-NEW-01
CALL-0271,+91 9966647391,+91 9357109965,2025-07-31 19:00:00,737,TWR-NEW-01
CALL-0272,+91 9786579303,+91 9637500247,2025-07-21 19:00:00,150,TWR-NEW-01
CALL-0273,+91 9219778234,+91 9771410971,2025-08-01 10:00:00,100,TWR-NEW-01
CALL-0274,+91 9668132202,+91 9849621470,2025-07-03 10:00:00,31,TWR-NEW-01
CALL-0275,+91 9249827706,+91 9911514914,2025-07-26 16:00:00,486,TWR-NEW-01
CALL-0276,+91 9126855092,+91 9507943839,2025-07-31 21:00:00,760,TWR-NEW-01
CALL-0277,+91 9925276600,+91 9826600539,2025-07-23 17:00:00,571,TWR-NEW-01
CALL-0278,+91 9185675980,+91 9274648506,2025-07-04 16:00:00,97,TWR-NEW-01
CALL-0279,+91 9830448745,+91 9587182120,2025-07-22 12:00:00,21,TWR-NEW-01
CALL-0280,+91 9668132202,+91 9969119330,2025-08-07 19:00:00,471,TWR-NEW-01
CALL-0281,+91 9485451171,+91 9566825638,2025-07-13 18:00:00,840,TWR-NEW-01
CALL-0282,+91 9694021782,+91 9849621470,2025-07-13 09:00:00,853,TWR-NEW-01
CALL-0283,+91 9746412689,+91 9924970419,2025-07-05 14:00:00,856,TWR-NEW-01
CALL-0284,+91 9826600539,+91 9507437181,2025-08-06 19:00:00,877,TWR-NEW-01
CALL-0285,+91 9357109965,+91 9149203558,2025-07-28 12:00:00,420,TWR-NEW-01
CALL-0286,+91 9171069472,+91 9976198296,2025-07-24 20:00:00,361,TWR-NEW-01
CALL-0287,+91 9922308461,+91 9748245888,2025-08-03 12:00:00,248,TWR-NEW-01
CALL-0288,+91 9266944844,+91 9264109919,2025-07-31 20:00:00,256,TWR-NEW-01
CALL-0289,+91 9248532577,+91 9237859287,2025-07-06 11:00:00,284,TWR-NEW-01
CALL-0290,+91 9675770529,+91 9193349856,2025-07-31 09:00:00,441,TWR-NEW-01
